,Q-sv(20%),Q-sv(10%),Q-sv(2%),Q-sv(1%),Q-ov,L-sv(20%),L-sv(10%),L-sv(2%),L-sv(1%),L-ov,S-sv(20%),S-sv(10%),S-sv(2%),S-sv(1%),S-ov,T-sv(20%),T-sv(10%),T-sv(2%),T-sv(1%),T-ov
0,12,16,19,20,20,3.7297458666957706,4.096997385802897,4.183019570274454,4.191599891614798,4.191599891614798,1.0065479183368875,1.1371146188537067,1.1705206044546612,1.1739124267917544,1.1739124267917544,0.013755321502685547,0.012085676193237305,0.01338338851928711,0.011639833450317383,0.011193990707397461
1,14,19,25,30,32,3.5574326467475847,3.7356118078588576,4.118462320239883,4.852776939182669,4.937545808659596,0.9661284264983538,1.0287600076592143,1.113925733428477,1.2162278447570933,1.2323702418989744,0.010218620300292969,0.010860443115234375,0.01764059066772461,0.01861858367919922,0.025203227996826172
2,11,16,27,35,37,3.3883469866414835,3.590523461722264,4.706545422332312,5.237729256571667,5.1751092993005345,0.8670052266908872,0.9314116579092561,1.14944511599256,1.3261277694314981,1.3626504421683256,0.1022498607635498,0.011310338973999023,0.017649412155151367,0.017458200454711914,0.020308732986450195
3,12,14,20,31,44,3.7159480692688613,3.8462215581132857,4.3883131946244305,5.730211605226276,6.640582368683047,1.0177663401162225,1.0587071047926937,1.1935540084530867,1.3809068031159992,1.5806525685708241,0.010273456573486328,0.011075258255004883,0.015516281127929688,0.0163877010345459,0.019527673721313477
4,10,15,21,22,28,3.509659751569872,4.298483008499145,4.762963060359283,4.8640368480599,5.559286967721578,0.8818145703719064,1.0828727801917113,1.2031135489167515,1.2234897468430037,1.342972888704398,0.009465456008911133,0.00986170768737793,0.013674259185791016,0.014798164367675781,0.0158536434173584
5,14,20,26,29,36,3.776461543476253,4.012308755974791,4.306522083825705,4.669248214686677,5.734671820487682,1.0206320860213103,1.112219613167127,1.1804414836944146,1.2376259153978257,1.3868597620425964,0.010155916213989258,0.011816740036010742,0.018614768981933594,0.018985748291015625,0.024591922760009766
6,10,10,15,15,16,3.362175619472647,3.362175619472647,4.07865576225923,4.07865576225923,4.13208011823347,0.8488513980905871,0.8488513980905871,1.0311917642774968,1.0311917642774968,1.0452970694630506,0.009392261505126953,0.010125160217285156,0.012102365493774414,0.013095855712890625,0.01200556755065918
7,12,16,23,25,27,3.6208164043686124,3.7674690472732304,4.449756859438587,4.703271653744844,5.0584232542622205,0.9343943231580544,0.9873088358687733,1.119206475851573,1.1605633998736125,1.2082897529099648,0.009667634963989258,0.011963605880737305,0.015507221221923828,0.01852893829345703,0.019597530364990234
8,14,14,21,24,26,3.565891897215714,3.565891897215714,4.37299007662317,4.560166016498178,4.724626792330124,0.9437481457728506,0.9437481457728506,1.106968188362408,1.1459956798758277,1.1728268458118325,0.011113882064819336,0.010159969329833984,0.014702081680297852,0.01612114906311035,0.016643047332763672
9,10,17,26,30,44,3.434750649004578,4.019093814684944,4.667452748379515,4.661974029158235,5.741192881743463,0.8590031264727561,1.0265610238789815,1.1574196917017512,1.2734209367056004,1.555153388796445,0.012413263320922852,0.011353254318237305,0.018399477005004883,0.019910335540771484,0.0209200382232666
10,13,15,21,21,21,3.5943713412657945,3.6786205709199815,3.9885487272326214,3.9885487272326214,3.9885487272326214,0.9531420753740288,0.9837301635890033,1.064803278844849,1.064803278844849,1.064803278844849,0.010212182998657227,0.010358095169067383,0.013638973236083984,0.0159759521484375,0.01801443099975586
11,13,20,23,24,40,3.801037966211717,4.232642635224882,4.412754043584966,4.4674164537653995,6.059522990199855,1.0237578594803391,1.160512842436296,1.2077277277642053,1.2164141054021291,1.5089821298474173,0.010581493377685547,0.012485980987548828,0.017163515090942383,0.019468069076538086,0.02229166030883789
12,12,19,23,24,31,3.698360750904969,4.217239887761704,4.5047342598932945,4.591833676521955,5.149218912724624,0.9684427252050761,1.1222687429366025,1.1891884290522372,1.2019585773348591,1.3127807125511366,0.01009225845336914,0.011152029037475586,0.015149354934692383,0.01852583885192871,0.02039957046508789
13,13,17,28,30,35,3.6596787078296966,3.9164413285627244,5.019589645720302,5.151624855109673,5.632380342069302,0.9857847410548188,1.0686165591519607,1.2853446530299923,1.3099603617188826,1.372542752504103,0.010263919830322266,0.013938426971435547,0.01878213882446289,0.020205974578857422,0.02100348472595215
14,11,14,21,28,30,3.312115591001856,3.437715385373357,3.9955071268021554,5.008408371953084,5.0775415417889835,0.8327536485726736,0.877678200417276,1.0067310525995932,1.1760928687990226,1.190921874602125,0.009673833847045898,0.012223958969116211,0.015362024307250977,0.016229867935180664,0.017641067504882812
15,11,13,22,23,32,3.537377996040245,3.5717439628576706,4.66618878186463,4.732425472929808,5.58343976709445,0.942999085231852,0.9584961758342797,1.1707335220869222,1.1833966794266162,1.3127432706156892,0.010705709457397461,0.009444713592529297,0.014745950698852539,0.01802992820739746,0.017918109893798828
16,10,13,25,26,27,3.872267884420021,4.0213184523935634,5.3708578027573575,5.4475982209557765,5.474681583401904,1.1205344832432482,1.1854945597206916,1.50269447193821,1.5210089653853347,1.5284045474170984,0.013136148452758789,0.010067462921142578,0.016292572021484375,0.016556262969970703,0.01872110366821289
17,14,14,22,28,33,3.501548772711567,3.501548772711567,4.1243753893369455,4.836415680354321,5.25238622253326,0.9333275753279235,0.9333275753279235,1.0934238730995136,1.1988994889809517,1.259419276908254,0.013319730758666992,0.011492729187011719,0.01448369026184082,0.01882195472717285,0.01863574981689453
